Time (s),C1 DC (V)
0,-0.00550404299179172
0.1,-0.005400694384046925
0.2,-0.005619630250453807
0.3,-0.005543931928114332
0.4,-0.005714819757587235
0.5,-0.005504042991791747
0.6,-0.005169973150090179
0.7,-0.005268788924161991
0.8,-0.005484551806997827
0.9,-0.004943331466439138
1,-0.004696292031259441
1.1,-0.004019993247244722
1.2,-0.002351457172206964
1.3,-0.0001149570379396026
1.4,0.007259963348060933
1.5,0.02759878803889459
1.6,0.07102560104324739
1.7,0.2248867473900903
1.8,0.5453150261526107
1.9,1.536784455152165
2,2.957146980025649
2.1,2.993488520715473
2.2,2.989725815483511
2.3,2.979521500318966
2.4,2.986662979770885
2.5,2.9949208961561
2.6,2.994867408718762
2.7,2.994750461610004
2.8,2.994912283772126
2.9,2.994386475066072
3,2.994956252258755
3.1,2.995607167174182
3.2,2.995163402757605
3.3,2.995167935591278
3.4,
3.5,
3.6,
3.7,
3.8,
3.9,
4,
4.1,
4.2,
4.3,
4.4,
4.5,
4.6,
4.7,
4.8,
4.9,
5,
5.1,
5.2,
5.3,
5.4,
5.5,
5.6,
5.7,
5.8,
5.9,
6,
6.1,
6.2,
6.3,
6.4,
6.5,
6.6,
6.7,
6.8,
6.9,
7,
7.1,
7.2,
7.3,
7.4,
7.5,
7.6,
7.7,
7.8,
7.9,
8,
8.1,
8.199999999999999,
8.300000000000001,
8.4,
8.5,
8.6,
8.699999999999999,
8.800000000000001,
8.9,
9,
9.1,
9.199999999999999,
9.300000000000001,
9.4,
9.5,
9.6,
9.699999999999999,
9.800000000000001,
9.9,
